row_id,date,continent_code,country_name,country_code,state_province,population,city_town,distance,latitude,longitude,hazard_type,landslide_type,landslide_size,trigger
7149,2015-04-14,NA,United States,US,Kentucky,3255,Prestonsburg,12.65382,37.5986,-82.8875,Landslide,Mudslide,medium,Downpour
7150,2015-04-14,NA,United States,US,Kentucky,4456,Hazard,4.39348,37.2859,-83.2128,Landslide,Mudslide,small,Downpour
7193,2015-07-13,NA,United States,US,West Virginia,994,Sutton,18.39748,38.499,-80.7205,Landslide,Landslide,small,Continuous rain
7199,2015-07-14,NA,United States,US,Ohio,1551,Oak Hill,10.37446,38.9643,-82.4948,Landslide,Mudslide,small,Downpour
7200,2015-07-14,NA,United States,US,Tennessee,6097,Erwin,7.88881,36.2032,-82.4673,Landslide,Landslide,small,Continuous rain
7201,2015-07-14,NA,United States,US,West Virginia,1227,Clendenin,0.17162,38.4875,-81.3494,Landslide,Mudslide,small,Continuous rain
7216,2015-07-13,NA,United States,US,West Virginia,1009,Webster Springs,9.96486,38.5653,-80.4459,Landslide,Landslide,small,Downpour
7217,2015-07-13,NA,United States,US,West Virginia,1009,Webster Springs,0.16161,38.4807,-80.4138,Landslide,Landslide,small,downpour
7219,2015-07-14,NA,United States,US,Kentucky,6903,Pikeville,10.52676,37.4078,-82.4405,Landslide,Landslide,small,Continuous rain
7228,2015-07-19,NA,United States,US,California,57065,La Mesa,4.97056,32.7738,-117.1282,Landslide,Rockfall,small,Downpour
7229,2015-07-19,NA,United States,US,California,20292,Ramona,4.85697,33.0742,-116.9029,Landslide,Landslide,small,Downpour
7230,2015-07-19,NA,United States,US,California,1502,Julian,4.69959,33.098,-116.6468,Landslide,Landslide,small,Downpour
7231,2015-07-19,NA,United States,US,California,10109,San Diego Country Estates,7.62002,33.0681,-116.7469,Landslide,Landslide,small,Downpour
7232,2015-07-19,NA,United States,US,California,20292,Ramona,3.13754,33.05,-116.836,Landslide,Landslide,small,Downpour
7233,2015-07-19,NA,United States,US,California,1006,Niland,53.76298,33.712,-115.3871,Landslide,Landslide,medium,Downpour
7235,2015-07-18,NA,United States,US,Ohio,5338,Dayton,1.56996,39.1252,-84.4639,Landslide,Mudslide,small,Downpour
7240,2015-07-18,NA,United States,US,California,51367,Yucaipa,10.37615,34.1036,-116.9702,Landslide,Rockfall,small,Downpour
7257,2015-07-21,NA,United States,US,West Virginia,1638,Montgomery,1.33142,38.1838,-81.3139,Landslide,Landslide,small,Downpour
7290,2015-07-27,NA,United States,US,Massachusetts,1318,Hatfield,3.49144,42.3902,-72.7216,Landslide,Mudslide,medium,Downpour
7291,2015-07-27,NA,United States,US,Massachusetts,1222,Chesterfield,6.53153,42.443,-72.801,Landslide,Mudslide,small,Downpour
7322,2015-08-13,NA,United States,US,Utah,1344,Woodland Hills,0.75074,40.0086,-111.6421,Landslide,Mudslide,small,Downpour
7340,2015-08-15,NA,United States,US,Colorado,416427,Colorado Springs,3.81487,38.8113,-104.8545,Landslide,Landslide,small,Rain
7345,2015-10-19,NA,Guatemala,GT,Guatemala,67994,Santa Catarina Pinula,3.96161,14.5572,-90.53,Landslide,Mudslide,small,Tropical cyclone
7346,2015-10-19,NA,Guatemala,GT,Santa Rosa,3634,Santa María Ixhuatán,0.82332,14.1974,-90.2743,Landslide,Landslide,medium,Tropical cyclone
7347,2015-10-19,NA,Guatemala,GT,Suchitepeque,2680,San Juan Bautista,3.47803,14.3855,-91.1789,Landslide,Landslide,medium,Rain
7348,2015-07-19,NA,United States,US,California,193365,Moreno Valley,5.33395,33.9805,-117.2564,Landslide,Debris flow,medium,Downpour
7399,2107-04-13,NA,United States,US,Pennsylvania,3165,Homestead,3.7449,40.4267,-79.9468,Landslide,Landslide,medium,Unknown
7402,2016-01-29,SA,Colombia,CO,Huila,8044,Rivera,20.31227,2.7664,-75.074,Landslide,Landslide,small,Rain
7403,2011-04-29,SA,Ecuador,EC,Pichincha,1399814,Quito,4.25486,-0.2633,-78.5061,Landslide,Landslide,medium,Rain
7413,2015-09-27,NA,Guatemala,GT,Chimaltenango,16494,Patzicía,5.52205,14.6614,-90.9681,Landslide,Landslide,medium,Rain
7414,2015-09-27,NA,Guatemala,GT,Guatemala,473080,Mixco,1.87009,14.6167,-90.6097,Landslide,Landslide,medium,Rain
7415,2015-09-27,NA,Guatemala,GT,Guatemala,141455,Petapa,4.20726,14.5337,-90.5289,Landslide,Landslide,medium,Rain
